iter	Passed	Remaining
399	112148	578964
400	112337	578215
401	112526	577466
402	112808	577200
403	113055	576751
404	113246	576021
405	113446	575335
406	113660	574723
407	113846	573976
408	114110	573623
409	114557	574184
410	114810	573771
411	115081	573451
412	115358	573159
413	115735	573367
414	116108	573548
415	116402	573340
416	116615	572729
417	116934	572645
418	117198	572286
419	117539	572304
420	117918	572506
421	118166	572073
422	118371	571427
423	118851	572114
424	119092	571645
425	119432	571650
426	119726	571434
427	119963	570945
428	120258	570737
429	120710	571270
430	120998	571021
431	121326	570963
432	121458	569985
433	121715	569597
434	121998	569324
435	122247	568901
436	122514	568557
437	122766	568144
438	122984	567578
439	123235	567164
440	123459	566625
441	123670	566028
442	123884	565451
443	124087	564821
444	124295	564219
445	124510	563646
446	124744	563163
447	124931	562469
448	125038	561420
449	125199	560614
450	125387	559936
451	125579	559271
452	125657	558106
453	125841	557416
454	126022	556713
455	126211	556052
456	126391	555346
457	126567	554629
458	126748	553938
459	126923	553219
460	127095	552492
461	127264	551753
462	127443	551064
463	127626	550390
464	127803	549692
465	128015	549148
466	128212	548539
467	128400	547896
468	128573	547190
469	128793	546687
470	129010	546170
471	129127	545235
472	129316	544604
473	129527	544071
474	129742	543554
475	129889	542753
476	130083	542151
477	130285	541584
478	130471	540953
479	130658	540328
480	130837	539669
481	131020	539031
482	131209	538419
483	131377	537723
484	131564	537107
485	131662	536130
486	131864	535581
487	132052	534975
488	132234	534346
489	132386	533599
490	132476	532603
491	132773	532444
492	132987	531951
493	133207	531483
494	133416	530971
495	133619	530438
496	133817	529884
497	134007	529301
498	134192	528701
499	134415	528252
500	134623	527746
501	134840	527275
502	135109	527007
503	135331	526558
504	135535	526039
505	135783	525690
506	135997	525213
507	136206	524718
508	136444	524334
509	136690	523978
510	136888	523445
511	137080	522888
512	137278	522353
513	137491	521878
514	137777	521681
515	137986	521193
516	138224	520815
517	138528	520685
518	138736	520196
519	138934	519670
520	139126	519119
521	139331	518624
522	139549	518173
523	139739	517622
524	139940	517114
525	140130	516564
526	140317	516006
527	140534	515561
528	140779	515216
529	140992	514755
530	141215	514331
531	141435	513900
532	141661	513488
533	141865	513002
534	142065	512496
535	142180	511691
536	142326	510996
537	142537	510539
538	142645	509714
539	142850	509237
540	143037	508694
541	143219	508138
542	143417	507639
543	143625	507176
544	143824	506683
545	143976	506026
546	144180	505555
547	144401	505143
548	144618	504714
549	144842	504314
550	145103	504044
551	145391	503865
552	145697	503748
553	145858	503132
554	146092	502768
555	146341	502456
556	146479	501764
557	146712	501399
558	146931	500987
559	147076	500323
560	147244	499740
561	147488	499414
562	147721	499052
563	148050	499013
564	148295	498693
565	148423	497979
566	148628	497525
567	148850	497128
568	149103	496835
569	149330	496459
570	149491	495861
571	149628	495187
572	149848	494788
573	149968	494059
574	150223	493778
575	150440	493370
576	150582	492722
577	150816	492372
578	151065	492072
579	151326	491811
580	151637	491713
581	151944	491599
582	152256	491504
583	152424	490944
584	152649	490565
585	152897	490264
586	153108	489842
587	153320	489424
588	153431	488688
589	153663	488338
590	153803	487693
591	153914	486961
592	153992	486129
593	154188	485669
594	154394	485241
595	154573	484728
596	154744	484192
597	154879	483545
598	155074	483085
599	155277	482654
600	155491	482255
601	155690	481811
602	155901	481406
603	156088	480928
604	156259	480400
605	156438	479901
606	156703	479660
607	156923	479287
608	157159	478961
609	157512	478992
610	157773	478741
611	158043	478520
612	158208	477979
613	158503	477834
614	158727	477472
615	158938	477072
616	159150	476677
617	159360	476276
618	159566	475865
619	159773	475454
620	159991	475078
621	160180	474619
622	160435	474352
623	160680	474058
624	160912	473727
625	161146	473401
626	161389	473100
627	161605	472721
628	161823	472350
629	161958	471736
630	162068	471051
631	162155	470302
632	162271	469638
633	162443	469138
634	162773	469095
635	162938	468576
636	163176	468268
637	163473	468127
638	163789	468044
639	164075	467871
640	164332	467617
641	164571	467311
642	165131	467915
643	165329	467492
644	165648	467410
645	165940	467253
646	166284	467240
647	166679	467372
648	166844	466856
649	167267	467061
650	167668	467204
651	168055	467307
652	168481	467515
653	169108	468279
654	169582	468616
655	170054	468945
656	170436	469023
657	170726	468850
658	171205	469190
659	171539	469135
660	171958	469309
661	172247	469128
662	172479	468790
663	172684	468381
664	172901	468004
665	173100	467579
666	173299	467155
667	173484	466693
668	173673	466245
